attempt_id,user_id,course_id,instrument_id,attempt_type,started_at,submitted_at,duration_s,created_at
14ec4910-8c01-41dd-ba00-d6bd641ab2ca,66463ff1-b84c-49cf-b596-bebb3cb7ae59,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 05:01:11.629091+00,2026-04-13 05:16:49.183+00,937,2026-04-13 05:01:11.629091+00
a07fd43b-e2bc-4e28-88d0-438a4b38bcde,7fa4abb8-6ed9-4a3a-938a-31ee94d3766d,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 05:13:45.816054+00,2026-04-13 05:30:17.867+00,992,2026-04-13 05:13:45.816054+00
fe465014-c7d5-4f39-91d1-7c162a8c6c05,ba57b317-ce06-44c6-b117-58c8a4b82fc1,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 05:54:45.905731+00,2026-04-13 06:08:10.128+00,804,2026-04-13 05:54:45.905731+00
1bcb6e90-33f1-46eb-9fae-08f4f01bb5c0,422632cf-ecd9-4798-a90b-aed4f5977661,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 06:05:27.14811+00,2026-04-13 06:34:36.525+00,1749,2026-04-13 06:05:27.14811+00
754d49f0-7c13-4644-9e5d-d05d267582b8,c0d1113c-43e6-4e2a-a1b8-6ad5e773d4bf,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 07:11:33.777867+00,2026-04-13 07:30:58.999+00,1165,2026-04-13 07:11:33.777867+00
c716252b-38ad-489c-8312-c8898cdd2974,926b6982-c3ee-486b-9646-029121432b1a,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 05:38:51.260454+00,2026-04-13 08:02:13.174+00,8601,2026-04-13 05:38:51.260454+00
505b998a-7a6c-42d0-abef-735048a92d1f,658fd9b5-05e5-4010-8838-b41783ec6f87,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 08:58:48.303994+00,2026-04-13 09:46:19.689+00,2851,2026-04-13 08:58:48.303994+00
44fa23b8-9fe3-4230-bd5f-5ca0a57a67a7,37b79b9d-7ee4-4eb5-a1ba-37839edfef17,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 12:19:23.420499+00,2026-04-13 12:33:27.188+00,843,2026-04-13 12:19:23.420499+00
85b101eb-16ff-471a-aecc-e17f10b14cab,9eb9c822-2342-4ddf-b5b9-f1a26a915b22,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 12:11:12.551588+00,2026-04-13 12:36:13.255+00,1500,2026-04-13 12:11:12.551588+00
cc15479e-aa6e-4ee8-8558-215131c96e02,1dadf029-d80a-4fe8-bcfa-63efd1fcb618,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440002,post,2026-04-13 12:33:58.597724+00,2026-04-13 12:54:56.48+00,1257,2026-04-13 12:33:58.597724+00
