attempt_id,user_id,course_id,instrument_id,attempt_type,started_at,submitted_at,duration_s,created_at
8e4ac48f-4477-4be6-b632-5a417ed75262,facf977a-47b6-4337-9f44-2036767c8c9c,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 06:05:37.387698+00,2026-02-02 06:18:05.542252+00,748,2026-02-02 06:05:37.387698+00
e2681d5d-eddc-48a6-8b80-34d3523c26df,55471591-dfec-456f-b7ae-0399529f8aab,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 13:53:53.005734+00,2026-02-02 14:01:48.358385+00,475,2026-02-02 13:53:53.005734+00
853aa454-c31a-4e53-aba4-40b39ca1135a,6caa1b09-447d-4de9-b5fc-73f52b172660,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 14:02:21.508309+00,2026-02-02 14:16:27.633137+00,846,2026-02-02 14:02:21.508309+00
48b1075a-2e50-4a49-abac-805c65df4c42,334215c7-e772-4902-97f5-a5155524a1b1,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 14:43:19.159744+00,2026-02-02 14:57:17.43911+00,838,2026-02-02 14:43:19.159744+00
aac4672d-f43f-4483-90b8-260301b9b234,d8434543-92f1-4089-af65-17b258c2d622,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 15:28:07.072374+00,2026-02-02 15:41:54.909053+00,828,2026-02-02 15:28:07.072374+00
9f131ed6-5d88-4d83-bbc0-485092ae8218,f49e3d55-f798-4290-9878-37f35896b684,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:13:42.763965+00,2026-02-02 16:22:04.252493+00,501,2026-02-02 16:13:42.763965+00
7e4b07d1-bbfe-4eb9-a3b5-51a767810144,283582df-980f-4f96-b37d-f3c25436d613,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:33:22.89675+00,2026-02-02 16:38:41.894845+00,319,2026-02-02 16:33:22.89675+00
ff9872fb-973c-4f28-a170-e7a0a23a5de9,681bc1cb-c0bb-489e-9b78-dcd25f5daa38,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:20:44.310764+00,2026-02-02 16:49:03.520055+00,1699,2026-02-02 16:20:44.310764+00
ca8015a0-da22-49e3-83b0-9a0b644843c8,f9fa96e7-82a6-4bca-a7bd-98ae82704598,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:28:53.272945+00,2026-02-02 16:52:17.944704+00,1405,2026-02-02 16:28:53.272945+00
f1e8edbe-fcc0-4f45-90fe-854b398e05f3,c2239f35-637e-453e-81ce-4058d54d456c,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:49:12.54162+00,2026-02-02 17:06:48.371189+00,1056,2026-02-02 16:49:12.54162+00
3718554d-0d03-484a-984e-3aa9cc48d894,4ee923b2-a270-46f6-9ac0-f8c08dd35129,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,550e8400-e29b-41d4-a716-446655440001,pre,2026-02-02 16:46:44.193294+00,2026-02-02 17:17:24.094635+00,1840,2026-02-02 16:46:44.193294+00
