profile_id,user_id,course_id,gender,race_ethnicity,age_range,first_language,work_experience,prior_financial_products,self_rated_financial_knowledge,financial_stress_frequency,household_income,parental_education,first_generation_college,has_student_loan_debt,research_consent,completed_at
b1a5f146-4903-4788-8f2d-58b65e057634,2e113363-d3c8-472f-a407-73be07b754f8,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,female,Hispanic or Latino,above-20,spanish,full-time,"[""credit-card"", ""student-loan""]",moderate,often,,less-than-high-school,yes,yes,t,2026-02-02 06:04:53.055167+00
8bb82e65-7896-4ab8-9025-91cd2d348b88,facf977a-47b6-4337-9f44-2036767c8c9c,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,female,White or Caucasian,20-or-under,english,part-time,"[""none""]",low,sometimes,,some-college-no-degree,no,no,t,2026-02-02 06:04:57.955254+00
90a74ac6-522a-4883-9510-9b51d0a859a1,55471591-dfec-456f-b7ae-0399529f8aab,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,female,Hispanic or Latino,20-or-under,english,part-time,"[""student-loan""]",low,often,,some-college-no-degree,no,yes,t,2026-02-02 13:52:58.077224+00
072e406f-febb-4ec8-be45-8a14a40c8b7f,6caa1b09-447d-4de9-b5fc-73f52b172660,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,male,White or Caucasian,above-20,english,full-time,"[""credit-card"", ""student-loan"", ""auto-loan""]",low,always,,some-college-no-degree,yes,yes,t,2026-02-02 14:02:00.855306+00
a18e79f2-3d01-431f-9f15-e82a4cb8480f,6a724941-d859-4fe7-84ee-916232c3931d,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,male,White or Caucasian,20-or-under,english,part-time,"[""credit-card"", ""student-loan""]",moderate,sometimes,,associate-degree,yes,yes,t,2026-02-02 14:28:38.745921+00
5d8fc3de-0d05-4190-8f37-11648078459f,334215c7-e772-4902-97f5-a5155524a1b1,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,female,White or Caucasian,20-or-under,english,part-time,"[""student-loan""]",moderate,rarely,,graduate-or-professional-degree,yes,no,t,2026-02-02 14:42:31.381558+00
86d9e788-9c04-4ee0-b17d-62e7c32c70e7,0e01535f-fddc-409e-810b-fd3ded7d2ac2,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,male,White or Caucasian,20-or-under,english,no-work-experience,"[""credit-card""]",very-high,sometimes,,high-school-diploma-or-ged,no,no,t,2026-02-02 14:45:52.16044+00
7ddd757f-447f-4b9c-b4de-9588c73f878f,e1bb1f62-1118-49e0-b13a-9ecc47e050a3,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,female,White or Caucasian,20-or-under,english,part-time,"[""credit-card""]",low,rarely,,bachelors-degree,no,no,t,2026-02-02 14:50:39.472448+00
c1de47eb-c798-4fd6-9d9b-1827711e09cf,d8434543-92f1-4089-af65-17b258c2d622,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,male,White or Caucasian,20-or-under,english,part-time,"[""student-loan"", ""investment-account""]",moderate,often,,associate-degree,no,prefer-not-to-say,t,2026-02-02 15:27:36.078393+00
5ba75d0b-a883-4cbe-9bbe-e6032094902d,77d2f9c3-1da7-4e3d-b468-043d952e68d9,7d2803a4-967a-4b5b-aaa7-e76fea38ab03,male,Asian,20-or-under,english,part-time,"[""student-loan"", ""credit-card"", ""investment-account"", ""insurance""]",moderate,sometimes,,dont-know,prefer-not-to-say,no,t,2026-02-02 15:53:21.814701+00
